"lang_key","lang_value","notes"
"lang_show_menu_entries","Show _MENU_ entries",""
"lang_showing_0_to_0_of_0_entries","Showing 0 to 0 of 0 entries",""
"lang_showing_start_to_end_of_total_entries","Showing _START_ to _END_ of _TOTAL_ entries",""
"lang_sign_in","Sign in",""
"lang_sign_in_now","Sign in Now",""
"lang_sign_out","Sign out",""
"lang_sign_up","Sign Up",""
"lang_sign_up_now","Sign Up Now",""
"lang_someone_example_com","someone@example.com",""
"lang_something_i_want_to_offer","Something I want to offer",""
"lang_state_province","State/Province",""
"lang_street_address","Street Address",""
"lang_submit","Submit",""
"lang_terms_and_conditions","terms and conditions",""
"lang_email_already_associated","The email you entered is already associated with an account. Click here if you forgot password",""
"lang_the_last_step","The last step",""
"lang_the_primary_contact_email","The primary contact email",""
"lang_the_primary_phone_number_to_contact","The primary phone number to contact",""
"lang_about_text","This app is a test site. If you have questions please email Jennifer Damashek at jenniferdamashek@protonmail.com.",""
"lang_this_email_not_registered","This email not registered",""
"lang_monday","Monday",""
"lang_tuesday","Tuesday",""
"lang_wednesday","Wednesday",""
"lang_thursday","Thursday",""
"lang_friday","Friday",""
"lang_saturday","Saturday",""
"lang_sunday","Sunday",""
"lang_update_my_need","Update my need",""
"lang_update_my_offer","Update my offer",""
"lang_update_password","Update password",""
"lang_update_user","Update User",""
"lang_update_user_password","Update User Password",""
"lang_update_your_offer","Update your offer",""
"lang_updated_successfully","updated successfully",""
"lang_user_name","User Name",""
"lang_user_updated_successfully","User updated successfully",""
"lang_users_management","Users Management",""
"lang_virtual","Virtual",""
"lang_want_to_add_an_image","Want to add an image?",""
"lang_welcome","Welcome",""
"lang_welcome_to_public_chat","Welcome to Public Chat",""
"lang_what_would_you_like_to_offer","What would you like to offer?",""
"lang_world","World",""
"lang_you_do_not_have_any_matches_yet","You do not have any matches yet.",""
"lang_you_must_agree_to_the_terms_and_conditions","You must agree to the terms and conditions",""
"lang_your_email","Your Email",""
"lang_your_message","Your Message",""
"lang_your_name","Your Name",""
"lang_your_password","Your password",""
"lang_your_photo","Your Photo",""
"lang_zip","Zip",""
"lang_zip_or_postal_code","Zip or Postal Code",""
"lang_need_it_before","Need it before",""
"lang_need_it_after","Need it after",""
"lang_need_it_recurring","Need it recurring",""
"lang_need_it_asap","Need it ASAP",""
"lang_create_need_right_away_popup_text","Create a new need right away, just click the button below and fill out the details!",""
"lang_your_message_has_been_sent_successfully","Your message has been sent successfully.",""
"test","test",""
